,names,scores,logfoldchanges,pvals,pvals_adj
0,CG10911,12.146291,8.731646,6.0027851209880245e-34,4.7776166777943686e-30
1,CG13492,11.92537,9.230518,8.729557212024847e-33,3.473927292525288e-29
2,CG43349,11.764201,6.87005,5.968893317580293e-32,1.5835473971540517e-28
3,Trim9,11.520289,4.4807496,1.0426024238748993e-30,2.074518172905081e-27
4,Oatp33Ea,11.43994,8.709322,2.640672369759222e-30,4.2034222781827296e-27
5,peb,11.374735,5.266465,5.5872242037395264e-30,7.411452906260481e-27
6,pigs,11.109716,4.6037083,1.1251627055808885e-28,1.27930999624547e-25
7,CG32473,10.906764,5.1604724,1.0699723312118395e-27,9.819745291735642e-25
8,fra,10.90339,5.849172,1.1104122078856738e-27,9.819745291735642e-25
9,CG2556,10.729392,3.9718184,7.408194911001389e-27,5.896182329666005e-24
10,nub,10.651161,7.4043765,1.7220284074436469e-26,1.2459658268039987e-23
11,NAAT1,10.524439,4.3093615,6.665729808904636e-26,4.421045295755999e-23
12,CG10737,10.418745,3.942125,2.0362134633193387e-25,1.2466325349660475e-22
13,CG13482,10.308069,4.3235397,6.478984793901968e-25,3.6833028553332687e-22
14,bbg,10.174873,4.2895966,2.5673382590949745e-24,1.3338863283301458e-21
15,CG31343,10.170636,6.073385,2.681515423204213e-24,1.3338863283301458e-21
16,Myo61F,10.037362,3.8905547,1.0442981827985514e-23,4.8891583746433365e-21
17,dve,10.013077,3.645446,1.3353400990563885e-23,5.904428804660997e-21
18,Mdr50,9.924881,7.8878303,3.2448998850203225e-23,1.3592714834145655e-20
19,ABCA,9.914916,3.482673,3.585590284907223e-23,1.4268856538788294e-20
20,dmGlut,9.8738785,4.2203107,5.403425429860838e-23,2.0478982379172577e-20
21,CG5853,9.858302,4.4574924,6.310721778317953e-23,2.2830470288014812e-20
22,CG4839,9.8139305,3.1220357,9.80728403030685e-23,3.3937466781396616e-20
23,fabp,9.687953,4.010578,3.392599004666979e-22,1.1250706449226867e-19
24,fz,9.545851,3.463332,1.3499442146614484e-21,4.297682401796187e-19
25,CG34330,9.534317,3.9345498,1.508758500255361e-21,4.618541885974007e-19
26,CG31198,9.515917,3.1102543,1.8011819836971006e-21,5.309484225276009e-19
27,CG8774,9.452673,8.217087,3.3028677237669514e-21,9.38840150480756e-19
28,sqa,9.376522,2.9293172,6.81850003429355e-21,1.871325578377323e-18
29,CG13160,9.339251,6.1118245,9.701853623636226e-21,2.573901766350691e-18
30,CG2930,9.290876,2.8341768,1.5302342529968202e-20,3.805979506125529e-18
31,CG5011,9.281853,6.004786,1.6655701084517793e-20,4.017052270656883e-18
32,Jon65Aiv,9.206094,8.282034,3.382091669342357e-20,7.917078704792888e-18
33,vanin-like,9.166116,4.6027923,4.9037223244256375e-20,1.11510645657439e-17
34,CG33298,9.140535,2.8280995,6.214387807998383e-20,1.3738975712183091e-17
35,drm,9.065365,3.620183,1.2418767896652145e-19,2.6713776672825518e-17
36,Meltrin,9.04975,2.7257283,1.4329557579485252e-19,3.0012881256611343e-17
37,CG9673,8.942762,7.3880653,3.795624027782662e-19,7.745992727467233e-17
38,CG8051,8.861275,3.7299345,7.910433591281339e-19,1.5739785238252044e-16
39,Ae2,8.744518,4.868752,2.2396991059033973e-18,4.267889175554511e-16
40,CG15347,8.74389,3.8660457,2.252184261506338e-18,4.267889175554511e-16
41,CG12974,8.706854,2.9256372,3.124244573162843e-18,5.782758734372807e-16
42,CG32633,8.685904,7.24393,3.757426933763418e-18,6.645635770182898e-16
43,corn,8.658284,4.573237,4.789198468443417e-18,8.110049066030032e-16
44,CG7470,8.616736,2.748375,6.8889653863688506e-18,1.142276573127285e-15
45,CG17119,8.5380745,3.0897853,1.364774895279786e-17,2.1724486783063632e-15
46,CG3277,8.533641,3.1301343,1.4181280732218222e-17,2.2131139872102907e-15
47,lncRNA:CR46006,8.437912,2.7436357,3.2305598246197593e-17,4.851325593235597e-15
48,mesh,8.411509,2.34025,4.047709282672512e-17,5.857403305598277e-15
49,CG44014,8.343792,5.9752045,7.194525856968085e-17,1.022521987421589e-14
50,CG42514,8.297027,3.1071107,1.0674940941152827e-16,1.4905588587830762e-14
51,cindr,8.234371,1.9230785,1.8050253598254725e-16,2.4769304894570577e-14
52,ZnT41F,8.19918,2.1020896,2.4203295912725317e-16,3.2649835960912e-14
53,raw,8.179603,2.3319178,2.8478193220867634e-16,3.777632330748092e-14
54,Mical,8.173953,2.1824331,2.98446438124172e-16,3.8939921328365325e-14
55,CG18788,8.109571,4.99805,5.079855018319454e-16,6.417550173143576e-14
56,CG30015,8.052409,2.6702976,8.117999705685793e-16,1.0095493696492692e-13
57,CG1358,8.040208,3.7413883,8.968632801890915e-16,1.0981745918499967e-13
58,klar,8.001916,1.8554664,1.2249762685189254e-15,1.477210018354868e-13
59,Nep1,7.95978,7.316078,1.7234527833835762e-15,2.04730756760446e-13
60,Chd64,7.904658,2.1927795,2.6867063714957703e-15,3.144631766284535e-13
61,fa2h,7.8273296,5.7501483,4.9834129115891545e-15,5.666140480476868e-13
62,Calx,7.7877045,2.6187172,6.823763316932534e-15,7.543101699925837e-13
63,CG15706,7.7682056,2.1775548,7.960580796293532e-15,8.679214049000031e-13
64,Mct1,7.663532,6.293429,1.8088817858727138e-14,1.8943276491790696e-12
65,CG32054,7.65596,6.3634753,1.918733946106202e-14,1.9832731788388654e-12
66,CG42668,7.6427383,2.3520696,2.126495616729358e-14,2.151538755556624e-12
67,CG14457,7.642189,4.782625,2.1355894168736437e-14,2.151538755556624e-12
68,odd,7.6077037,3.8698175,2.7900903223452423e-14,2.7757911094432228e-12
69,Alp5,7.6036625,5.8680525,2.878654088360768e-14,2.828544183859673e-12
