,names,scores,logfoldchanges,pvals,pvals_adj
0,eEF2,30.064445,2.2366903,1.4136386663413259e-198,1.0045669772688046e-196
1,eEF1alpha1,28.465443,1.942669,3.1383546883029866e-178,1.6219587639093163e-176
2,RpLP1,28.14042,2.1149073,3.1390319102585007e-174,1.487116367484965e-172
3,RpL4,27.511381,2.0728064,1.2831959178547281e-166,5.264410469178238e-165
4,RpL28,26.593504,1.8794444,8.070409745474951e-156,2.6763496318431304e-154
5,RpS4,25.793123,1.7975023,1.0590960072886902e-146,3.0321385330973688e-145
6,RpL7,25.59954,1.8297154,1.5436072981707077e-144,4.356585278773285e-143
7,RpLP2,25.37856,1.7458097,4.35005860416585e-142,1.1657278259446465e-140
8,RpL8,25.258615,1.78714,9.107789459895695e-141,2.384503168135192e-139
9,Mur18B,24.976372,2.4868314,1.1043736317486174e-137,2.72972352021343e-136
10,eIF4A,24.883024,1.8641194,1.13604186762269e-136,2.756633300124692e-135
11,RpL3,24.64068,1.6899995,4.632200397279899e-134,1.0907598509452876e-132
12,RpLP0,24.557695,1.7792517,3.579234351614854e-133,8.257138030290616e-132
13,pAbp,24.488474,1.7514722,1.9599048884542662e-132,4.4568237163450013e-131
14,RpS7,24.357046,1.6740506,4.881709068581641e-131,1.0733017258795935e-129
15,RpL6,24.123384,1.6637266,1.4209887209487648e-128,3.0159064613416583e-127
16,RpL23A,24.002768,1.8187941,2.6018239685328654e-127,5.4638303339190174e-126
17,eEF1gamma,23.84235,2.0717697,1.215691059354475e-125,2.468287025867925e-124
18,RpS29,23.700165,1.7377982,3.591672436155524e-124,7.164441333173387e-123
19,RpL13A,23.59821,1.6511505,4.020706264813051e-123,7.901432385591871e-122
20,RpL12,23.453083,1.5812367,1.2295280009981089e-121,2.3637230338028862e-120
21,RpL7A,23.398848,1.6044219,4.390635582391811e-121,8.280821943188726e-120
22,RpS2,23.30732,1.6417946,3.736796468081502e-120,6.98149368297199e-119
23,RpL17,23.298548,1.5829526,4.586042427117699e-120,8.528110205006955e-119
24,CG14292,23.254255,2.1186154,1.2882809393054502e-119,2.3625410128875755e-118
25,RpS15,23.064734,1.594064,1.0465620565468254e-117,1.893088047285496e-116
26,RpL27A,22.844275,1.5674694,1.6660146577512566e-115,2.9206631411987336e-114
27,RpS18,22.774862,1.6333305,8.139501270685783e-115,1.4144604937420996e-113
28,Non1,22.614319,2.2568405,3.133328030971143e-113,5.305991020957304e-112
29,RpL26,22.376278,1.5656445,6.70110887239729e-111,1.115776684422804e-109
30,blw,22.258333,1.7080781,9.366703725236444e-110,1.5307925040894631e-108
31,RpS19a,22.221424,1.7127141,2.1320273576436935e-109,3.477214290878311e-108
32,RpL18A,21.931234,1.530518,1.3082988718045788e-106,2.0783933574236814e-105
33,RpS6,21.77363,1.560697,4.1261452647201854e-105,6.451864471887613e-104
34,RpS16,21.764185,1.4890383,5.070411433993918e-105,7.897339452672718e-104
35,sta,21.630655,1.4749209,9.245911319554428e-104,1.4178845509120172e-102
36,RpS3,21.614016,1.5317616,1.325991300094063e-103,2.0256362298365927e-102
37,RpS26,21.560251,1.4893975,4.243026474104876e-103,6.444703760954333e-102
38,Rack1,21.4784,1.5304422,2.4790010095667313e-102,3.751020729114376e-101
39,mt:lrRNA,21.36542,1.3393035,2.8031901443211275e-101,4.170203805355487e-100
40,RpL35A,21.295958,1.5491999,1.2375236066582507e-100,1.8273562867148456e-99
41,RpL14,21.29308,1.4611884,1.3158962935397754e-100,1.9394849259783465e-99
