,names,scores,logfoldchanges,pvals,pvals_adj
0,Sox102F,6.044709,5.2363386,1.4967975858945885e-09,4.413241738218875e-08
1,FASN1,5.6622043,4.645187,1.494406075637629e-08,3.0575778807197655e-07
2,CG2233,5.6327925,7.721167,1.7731481582983174e-08,3.5458508019839973e-07
3,pigs,5.358218,1.9008704,8.404661573695342e-08,1.3651571727559434e-06
4,Yp3,5.2882676,7.1218963,1.2348033953565795e-07,1.8648577274464927e-06
5,Yp1,5.2532177,7.10339,1.4946459850481522e-07,2.211131486059153e-06
6,Yp2,5.2464676,6.716466,1.5504316993813968e-07,2.276731715014121e-06
7,Nplp2,5.120919,6.8114896,3.0404969688696566e-07,3.993286365550099e-06
8,bru1,5.066583,5.336919,4.0501994095847686e-07,5.165951458475188e-06
9,Pdfr,5.0584607,5.6029267,4.226547637060825e-07,5.365086545991564e-06
10,vir-1,5.0514874,4.0951405,4.383822488385169e-07,5.552422944916146e-06
11,ACC,4.7388225,2.7896252,2.1496356779115767e-06,2.2169965871836563e-05
12,bbg,4.652478,1.2408023,3.2796956151309276e-06,3.206768722460326e-05
13,teq,4.5454745,4.549547,5.481157787233177e-06,5.031664916792255e-05
14,Cad86C,4.443367,3.9955626,8.856185408449672e-06,7.628396067732786e-05
15,CaMKI,4.3446717,2.8263273,1.394840449226837e-05,0.00011456692606188232
16,ogre,4.3333225,3.891676,1.4687577866726389e-05,0.0001201403553872775
17,lncRNA:CR43650,4.2306585,2.9243405,2.330082190868304e-05,0.00017952685534482898
18,CG6337,4.2278395,3.6874094,2.3594582379113116e-05,0.00018143891899068723
19,wb,4.1829615,2.1311564,2.8773639854033883e-05,0.00021604660339458084
20,Cyt-b5-r,4.1742454,5.6696,2.9897556210665686e-05,0.0002236415882337295
21,Dif,4.1347446,1.9989095,3.553492054416912e-05,0.0002599470887969136
22,CG18067,4.092537,2.9251163,4.266792670291613e-05,0.0003053903135148466
23,Tl,3.9978843,3.560721,6.391116055623165e-05,0.00043812999730150526
24,CG33493,3.9885006,4.0646954,6.649220824456623e-05,0.00045348027885047356
25,Lsd-1,3.8284593,4.811672,0.00012894799329697318,0.0008158164377190855
26,18w,3.805241,3.1466098,0.00014166610126514648,0.0008862502263440363
27,Gbp2,3.770414,5.2425694,0.00016297692956646073,0.0010070911354188362
28,CG31689,3.7245712,2.1603754,0.00019564738043448615,0.0011859539229840635
29,Idgf6,3.7071764,2.587351,0.00020958301776481214,0.001259872536548444
30,dar1,3.693824,4.4260473,0.0002209066485180897,0.0013154145422053743
31,Ubx,3.4899428,5.2889776,0.0004831240442294453,0.0026676737511125022
32,CG32647,3.480967,4.77784,0.0004996069122856831,0.0027461128555813204
33,CR44391,3.4771097,3.3887591,0.0005068502926206888,0.0027840037812063923
34,Invadolysin,3.4402056,3.5881653,0.0005812723604564047,0.00315232625191306
35,Ndae1,3.4264824,0.8458259,0.0006114531695850225,0.003303839631179358
36,Wnt4,3.4186938,3.0614798,0.0006292251722793358,0.0033906588667374634
37,CG16758,3.4139833,5.0269427,0.0006402049690400789,0.003438185795269897
38,CG13917,3.4032645,1.2258301,0.0006658580460290195,0.003563469588899528
39,CG10433,3.3779323,3.9959216,0.0007303307072000696,0.0038699747660488376
40,CG1648,3.3438098,2.8069065,0.0008263635544996205,0.004315634862376955
41,svp,3.3227801,2.4739077,0.0008912515284715509,0.004609142894805116
42,CG13912,3.316957,3.9147823,0.0009100361918026586,0.004697132328506719
43,CG9691,3.2876933,4.893436,0.0010101180359999814,0.005163474276508576
44,CG31759,3.1601424,2.5873485,0.001576920904394936,0.007611105808416795
45,CG44014,3.1067705,3.419629,0.001891432176082333,0.008886604893411622
46,CG9451,3.0860374,2.1365376,0.0020284332914130713,0.009446635790729453
47,fra,3.0806966,2.4197516,0.0020651705691498547,0.009600871822350289
48,Ork1,3.0735753,1.4350984,0.0021151032157267487,0.0097986650139518
49,Cht4,3.0509136,4.5023513,0.002281462554486486,0.010459769856657801
50,CG32687,3.047761,2.4812403,0.0023055326503678753,0.010551888651108636
51,CG5958,3.0041065,3.346983,0.0026636205538927943,0.011981644456942993
52,CG3829,2.9913847,3.0882845,0.00277715305456163,0.0124346072134228
53,CG1468,2.979479,2.2484033,0.0028873898054780417,0.012874361603249151
54,Map205,2.951254,1.194893,0.0031648665833028775,0.013947493431067331
55,CG31183,2.945542,1.8848795,0.0032238928217337348,0.014168394791926447
56,CG31313,2.9300756,3.0355647,0.0033887939400361997,0.014778855325341431
57,Ugt49C1,2.882193,3.7403593,0.003949176217009127,0.016980817672164042
58,vari,2.8758137,2.7739186,0.004029874788401912,0.017262526071523582
59,Ilp6,2.8737366,3.75858,0.004056469998458604,0.01734843885960883
60,CG15210,2.85853,1.6453763,0.004256089066907129,0.018091881930043636
61,CG43349,2.8584187,2.4380329,0.004257581964439218,0.018091881930043636
62,CG3036,2.855229,1.3222958,0.004300580817087276,0.018225943942064768
63,bgm,2.771963,2.7971356,0.005571938338897668,0.02300944928372848
64,srp,2.6836898,1.8993372,0.007281464198363314,0.029122197766217897
65,CG32521,2.6818352,2.1712983,0.0073219503868921796,0.029269413927310323
66,CG15739,2.6393678,3.151959,0.00830608315049148,0.03268540984684607
67,Dmtn,2.638218,1.3195642,0.008334299965484869,0.03275688564212053
68,Acbp2,2.6297987,3.4367435,0.00854354628078423,0.033430720181298765
69,Shab,2.5865152,2.0625184,0.009695192581748242,0.03754941010128188
70,Cyp6d5,2.560033,1.2200905,0.010466218307166562,0.04012554504178163
71,alpha-Est2,2.5183816,2.8752825,0.011789552907270209,0.04463504654006345
72,CG6910,2.4993918,4.4590454,0.012440671941181916,0.04668331352186086
73,Ih,2.4851863,1.7551346,0.012948361833564055,0.04822461948214147
74,Gk2,2.4809952,3.050855,0.013101611118193622,0.048704214334284464
75,CG6287,2.4431639,1.9196483,0.014559123054689429,0.05352242974238945
76,CG43051,2.4098575,2.8591547,0.015958753111437303,0.05768197820796072
77,CG1722,2.4090044,3.296206,0.015996104121322727,0.05776451574483102
78,unc-13,2.3621974,0.8819824,0.01816696632396254,0.06463606838284214
79,PKD,2.357895,1.891098,0.018378890603748376,0.06523821172788766
80,glob1,2.3576353,1.3532677,0.018391748089233474,0.06523821172788766
81,pug,2.3563,1.7211117,0.01845799674069087,0.06543750381254282
82,Kaz1-ORFB,2.349661,2.1543036,0.018790509939234926,0.06629151977232747
83,Plp,2.3279638,1.1234254,0.019914030181017086,0.0698219234408436
84,Mct1,2.3097527,3.596336,0.020901846932876014,0.07280428872593443
85,ATPCL,2.243659,0.8581445,0.024854341224791087,0.08439236425260763
86,santa-maria,2.2290087,2.6074696,0.0258133221004084,0.08716513814049659
87,CG17124,2.2246323,1.2186655,0.02610593992969347,0.08785504266402974
88,tok,2.220775,2.7205627,0.026366213219763474,0.0885811274867444
89,Cyp6w1,2.2170658,1.4977378,0.0266185874232909,0.08909055395373099
90,CG15347,2.2140617,1.0739334,0.026824537443284262,0.08959147860306314
91,CG13360,2.2005239,3.6600223,0.02776974116177922,0.09232220965188002
92,CG41520,2.1991146,1.178407,0.027869776991226388,0.09261609815163709
93,CG9766,2.179828,3.1616318,0.02927021413559989,0.09654439880034792
94,Esyt2,2.172299,1.201536,0.029833131693830204,0.09807595834415307
95,CG7720,2.1080227,-0.40444148,0.0350290352837937,0.11241777896117501
96,Root,2.0950413,2.3202038,0.036167326277032175,0.11541930627060909
97,Gbp1,2.0947075,2.8507838,0.03619700765033585,0.11546772901363649
98,Chs2,2.088365,1.251402,0.036764911175236926,0.11718539368991217
99,Mmp2,2.081689,2.3580914,0.03737088602985762,0.1188421350219622
100,Phk-3,2.0784252,3.3521762,0.037670221211089795,0.11968754116529488
101,Gagr,2.071378,3.2279656,0.03832347578974137,0.12156896923497473
102,CG8034,2.0611043,1.1134421,0.03929309157150301,0.12414994673187474
103,Obp18a,2.057618,1.9648744,0.03962682973337179,0.1250171613737975
104,Gbs-76A,2.0529816,1.8499839,0.040074354728764756,0.12611774981662266
105,Akap200,2.0496435,0.7704218,0.04039922103166167,0.12698949454620664
106,CRMP,2.048976,1.3136286,0.04046446155620696,0.127144354333143
107,Pdk,2.0404825,0.58684474,0.041302293104679144,0.1293174472148471
108,Spn42Da,2.036959,1.781559,0.041654152534333196,0.1302142183899285
109,nrm,2.0248678,3.4083416,0.04288094240469248,0.133420414620386
110,Agpat3,2.0014272,1.131547,0.0453463741888505,0.13956372473668258
111,Srr,1.9903374,3.509719,0.04655378093527739,0.14212563961023122
112,nec,1.9789509,3.3859975,0.047821534503652965,0.14524153988047356
113,CG2145,1.9644117,2.777316,0.04948235652569979,0.1494611292554249
114,drm,1.9569567,1.0475242,0.05035254897980533,0.15151453207193596
115,CG3376,1.9453478,1.0511603,0.05173313826648516,0.15467469852102006
116,Mal-B2,1.9407487,1.9707239,0.05228877248773652,0.15615997757219324
117,pst,1.9149714,0.73090845,0.05549615114828548,0.16425952658579554
118,peb,1.8829631,1.1601834,0.059705368332799866,0.17454096496845056
119,Desat1,1.8826663,1.4004437,0.05974559339402172,0.174565043253678
120,Tig,1.8818504,2.7333815,0.059856328235134384,0.17482440969667323
121,modSP,1.8662357,3.899146,0.062008395115351965,0.180184306945267
122,Mur29B,1.858076,0.47796494,0.06315822182276978,0.18305204490965932
123,CG31705,1.804667,1.6840112,0.0711268021904459,0.20196154785364212
124,Nup44A,1.8019595,1.9742033,0.071551779219768,0.20302339066314923
125,Snx6,1.7972491,0.820251,0.07229608033541975,0.20447921229197077
126,Paics,1.7511468,1.3838588,0.07992062915304878,0.22158543120344523
127,CG34148,1.7402054,3.653613,0.08182296430518503,0.2252608000363084
128,Gfat1,1.7092726,0.88066655,0.08740045433442975,0.23700859149837353
129,mino,1.7050816,1.0068506,0.08817921731172047,0.23879496106974593
130,Ntan1,1.6916922,0.58932525,0.09070467449995025,0.24473722702810008
131,Sodh-1,1.689912,0.6398794,0.09104480854807158,0.2454693872744247
132,CG6145,1.6761146,0.9555135,0.0937157490403779,0.2515627813195169
