,names,scores,logfoldchanges,pvals,pvals_adj
0,tsh,49.014076,9.018763,0.0,0.0
1,Octalpha2R,49.006012,8.90958,0.0,0.0
2,axo,48.913025,5.1236205,0.0,0.0
3,Lim3,48.88748,8.124818,0.0,0.0
4,Lkr,48.81696,8.714834,0.0,0.0
5,SecCl,48.73538,6.8470197,0.0,0.0
6,Drip,48.730907,6.130643,0.0,0.0
7,CG17839,48.72021,9.0711355,0.0,0.0
8,apt,48.63424,5.458931,0.0,0.0
9,Pvf1,48.58068,5.9402776,0.0,0.0
10,Prip,48.543034,6.863913,0.0,0.0
11,Lgr1,48.366936,8.982639,0.0,0.0
12,ClC-a,48.270374,4.8277597,0.0,0.0
13,CG6602,48.152977,5.2269154,0.0,0.0
14,CG33080,48.104195,4.534208,0.0,0.0
15,RhoGEF64C,48.10316,8.528507,0.0,0.0
16,CG7536,47.94408,5.3863473,0.0,0.0
17,Prosap,47.84498,6.133547,0.0,0.0
18,CG30116,47.749855,5.7979026,0.0,0.0
19,CG13323,47.73868,5.929487,0.0,0.0
20,CG34325,47.56507,5.8489738,0.0,0.0
21,CG10939,47.36768,5.468079,0.0,0.0
22,Nep2,47.079105,5.9043813,0.0,0.0
23,l(1)G0196,46.502068,4.166281,0.0,0.0
24,ush,46.22226,4.8261027,0.0,0.0
25,Buffy,45.896435,5.283916,0.0,0.0
26,Frq2,45.882233,8.477525,0.0,0.0
27,fz2,45.830975,4.07981,0.0,0.0
28,wat,45.436134,8.193754,0.0,0.0
29,CG9674,45.23142,4.184007,0.0,0.0
30,kst,45.14754,3.369334,0.0,0.0
31,ed,45.05088,3.8700123,0.0,0.0
32,CG32982,44.931614,3.8186686,0.0,0.0
33,axed,44.903103,5.055073,0.0,0.0
34,Ac78C,44.550636,4.6595697,0.0,0.0
35,Egfr,43.88444,2.9082117,0.0,0.0
36,qvr,43.812035,8.01824,0.0,0.0
37,CLIP-190,43.69346,3.0577793,0.0,0.0
38,pyd,43.65822,3.0942616,0.0,0.0
39,chrb,43.13802,3.9925184,0.0,0.0
40,CG3726,43.10986,3.9705431,0.0,0.0
41,CG42672,43.03196,3.4834578,0.0,0.0
42,CG42807,43.000675,4.3670897,0.0,0.0
43,how,42.909264,3.6866667,0.0,0.0
44,CG10011,42.861065,3.482405,0.0,0.0
45,Nha2,42.858437,3.7380223,0.0,0.0
46,hfw,42.76317,4.522787,0.0,0.0
47,CG5002,42.728912,3.9412534,0.0,0.0
