,names,scores,logfoldchanges,pvals,pvals_adj
0,Nha2,21.52011,4.1029077,1.0092497052205258e-102,8.032618403850166e-99
1,Pde1c,18.371605,3.115328,2.217590122937742e-75,4.412449947115372e-72
2,dac,17.802687,4.0968657,6.735866088383595e-71,9.79379275452694e-68
3,CG4607,17.797548,3.640874,7.383183380721402e-71,9.79379275452694e-68
4,ed,17.704424,2.9290493,3.876244383937349e-70,4.407289864536766e-67
5,CG13323,17.65372,3.7725956,9.526706958713987e-70,9.477882585550579e-67
6,SK,17.209082,3.801466,2.2700062495974172e-66,1.736479609706809e-63
7,tsh,16.566286,3.744047,1.221397590070213e-61,6.48073561291255e-59
8,Octalpha2R,16.456194,4.3082433,7.571304463665774e-61,3.766250764144744e-58
9,NetB,16.253906,5.213132,2.0957382831577787e-59,9.266656108695977e-57
10,CG30116,16.217592,3.4859061,3.787538246223861e-59,1.586579836931353e-56
11,Lim3,15.88113,2.8155968,8.562114250151864e-57,3.0975394234981225e-54
12,Prosap,15.863357,3.263502,1.1365424819630743e-56,3.932931136497438e-54
13,Nep2,15.813742,2.741428,2.5015869031837503e-56,8.295887567683112e-54
14,CG8034,15.736196,2.6066208,8.54276664449806e-56,2.719675188942402e-53
15,cv-2,15.340123,2.948454,4.124088040192835e-53,1.1318488521343025e-50
16,CG9674,15.324082,2.5137773,5.279479233524702e-53,1.4006458406541033e-50
17,arr,15.212318,2.0192463,2.9298191011733018e-52,7.287009445699472e-50
18,Doc1,14.878134,2.5541422,4.57073014801805e-50,9.573274012651489e-48
19,Lkr,14.765402,2.895542,2.4485786084375513e-49,4.540283617451434e-47
20,lncRNA:roX1,14.606219,2.7752748,2.5635367843989888e-48,4.2506644306315734e-46
21,axed,14.211377,2.482109,7.787920538528069e-46,1.050577280782117e-43
22,Ih,14.204787,3.5908039,8.556244379424569e-46,1.134985816930669e-43
23,Egfr,14.032747,1.6688734,9.826962094239824e-45,1.167355094150071e-42
24,tutl,14.021624,6.9469557,1.1495479837771641e-44,1.3454782945415368e-42
25,CG32521,13.82385,2.3142653,1.830157353968499e-43,1.916608207925695e-41
26,how,13.781872,2.3877006,3.276632380202992e-43,3.343425271030207e-41
27,Ten-a,13.725103,2.7244992,7.182668031141493e-43,6.971567665835994e-41
28,CG7536,13.715269,2.2176173,8.22607152109095e-43,7.888108823658176e-41
29,ush,13.541859,2.0949857,8.85199896854479e-42,7.18908773373959e-40
30,sty,13.415626,1.9124042,4.897836136586702e-41,3.5118808838823025e-39
31,CG10939,13.229963,2.1677492,5.891646211592452e-40,3.8123261949645794e-38
32,form3,13.013387,2.6273024,1.0268802365868766e-38,6.0095145610257e-37
33,l(1)G0196,12.878649,2.3840742,5.93656690434808e-38,3.2142269382113176e-36
34,CG3726,12.796287,1.9540331,1.7198000430874694e-37,8.830895834150432e-36
35,Doc2,12.536283,3.173348,4.726519620195669e-36,2.199904658312124e-34
36,RhoGAP71E,12.393242,1.5266774,2.8431234614621774e-35,1.23652566282937e-33
37,mtgo,12.187085,1.7884766,3.6421908605200772e-34,1.4865742081476562e-32
38,CG10011,12.086243,1.5593222,1.2486748806429748e-33,4.8479040853841156e-32
39,svp,11.607184,2.4133685,3.788890444821289e-31,1.2461065723277949e-29
40,Ac78C,11.56037,1.7903897,6.542603923186765e-31,2.1167717327090836e-29
41,CG34325,11.516821,1.7298645,1.0854164828033646e-30,3.4975019379076836e-29
42,apt,11.485001,1.5728549,1.5693375202130974e-30,4.996142929350417e-29
43,sqa,11.403304,1.8075912,4.025471631263133e-30,1.2613672721741448e-28
44,BicD,11.402135,1.3555399,4.07989356612405e-30,1.2734067801090712e-28
45,Swim,11.33124,1.9588575,9.1895112632436e-30,2.8130507747752233e-28
46,CG6959,11.255346,1.6571853,2.179688320773932e-29,6.571264903424139e-28
47,CG33080,11.253815,1.3966238,2.2178828875749483e-29,6.661181095173213e-28
48,ETHR,11.157769,4.021601,6.561762949412592e-29,1.9257045178997316e-27
49,Pvf1,10.868161,1.6427457,1.6346211469544203e-27,4.365754935775246e-26
50,aos,10.795573,2.081915,3.61203090552804e-27,9.394821561143029e-26
51,CG6040,10.735802,2.4209688,6.911674402460624e-27,1.7463497323550508e-25
52,Gyg,10.720607,1.4899539,8.1467364989759e-27,2.0454219493801006e-25
53,Ptp10D,10.525594,1.1631912,6.584530266088102e-26,1.5413610702292706e-24
54,blot,10.407058,1.5383534,2.3022712130544468e-25,5.220449169430296e-24
55,sbb,10.40069,1.2670478,2.4614494050825017e-25,5.565532902003305e-24
56,CG32982,10.261881,1.3752571,1.046479584698335e-24,2.263296471362513e-23
57,MESR3,10.14659,1.3992524,3.431436095703948e-24,7.168188946379979e-23
58,Ldh,9.60246,4.620115,7.805897987285772e-22,1.3684392528812214e-20
59,IP3K2,9.557661,1.460061,1.2044771160349057e-21,2.0794866304819555e-20
60,CanA-14F,9.49523,1.7640824,2.1972652026342303e-21,3.7367593478132135e-20
61,NLaz,9.455207,1.2296484,3.223825087424324e-21,5.424613926175517e-20
62,CG10082,9.432637,1.3058804,3.9990698099793374e-21,6.68667996168604e-20
