,names,scores,logfoldchanges,pvals,pvals_adj
0,Cyp6a18,40.996433,6.021069,0.0,0.0
1,CG17834,40.42812,5.5766077,0.0,0.0
2,NK7.1,40.275566,4.144465,0.0,0.0
3,Gr98a,40.25935,5.532988,0.0,0.0
4,Calx,40.245182,5.4461584,0.0,0.0
5,CG33993,40.17856,7.462539,0.0,0.0
6,CG31886,40.16293,4.741417,0.0,0.0
7,CG32017,40.11516,5.4431434,0.0,0.0
8,Ggt-1,40.069176,5.698577,0.0,0.0
9,Glut1,40.06819,6.353477,0.0,0.0
10,CG15279,39.928185,6.8373685,0.0,0.0
11,dmGlut,39.901134,5.6334853,0.0,0.0
12,Ndae1,39.877316,6.5818725,0.0,0.0
13,Alp4,39.80097,5.279427,0.0,0.0
14,Prestin,39.784405,4.312893,0.0,0.0
15,bab2,39.76893,4.8244457,0.0,0.0
16,CG15673,39.635822,5.7910013,0.0,0.0
17,Cln3,39.634697,4.9357157,0.0,0.0
18,slif,39.60132,4.8179107,0.0,0.0
19,Picot,39.52386,6.54404,0.0,0.0
20,NT5E-2,39.35429,4.2536197,0.0,0.0
21,lncRNA:CR46006,39.29983,4.5509934,0.0,0.0
22,Ork1,39.268845,6.2429895,0.0,0.0
23,CG7470,39.251553,4.160693,0.0,0.0
24,goe,39.21544,4.212267,0.0,0.0
25,smash,39.102436,3.8460703,0.0,0.0
26,HDAC6,39.034634,3.6386998,0.0,0.0
27,CG14606,38.86606,4.966969,0.0,0.0
28,CG33181,38.691513,6.389131,0.0,0.0
29,CG42668,38.458237,4.3207355,0.0,0.0
30,bbg,38.453262,5.1250668,0.0,0.0
31,Naprt,38.370316,4.3801746,0.0,0.0
32,CG1698,38.33072,4.3510156,0.0,0.0
33,SelR,38.17483,3.8039806,0.0,0.0
34,Oatp58Db,38.100235,4.31552,0.0,0.0
35,CG2201,38.09102,3.2735624,0.0,0.0
36,Eip74EF,38.084736,3.1727097,0.0,0.0
37,CG9328,38.057823,4.3826017,0.0,0.0
38,app,37.97365,3.0727623,0.0,0.0
39,CG9864,37.916035,6.012228,0.0,0.0
40,Gclc,37.91401,4.363777,0.0,0.0
41,Mco1,37.860672,4.5605702,0.0,0.0
42,Oatp58Dc,37.80207,4.0964317,0.0,0.0
43,CG7720,37.796757,6.520951,0.0,0.0
44,ATP8A,37.617733,2.9390793,1.10290905860073e-309,1.9506784883118203e-307
45,CG43800,37.5368,5.0243225,2.313235740042564e-308,4.002400707608428e-306
46,CG7881,37.47232,6.881496,2.6017009129157253e-307,4.4057313969992036e-305
47,Fas2,37.37235,4.556151,1.0994257152134273e-305,1.822985264038264e-303
48,Pka-C3,37.359734,4.283522,1.7621761415675362e-305,2.8622775328032695e-303
49,Smvt,37.334072,3.9712481,4.597881665498505e-305,7.318908035140521e-303
50,CG9801,37.26056,3.9169843,7.147270259785826e-304,1.1153945881889292e-301
51,CG33282,37.215477,5.195929,3.8349942301063636e-303,5.869753668733952e-301
52,CG8745,37.20492,4.6220484,5.681672256411017e-303,8.53215650731609e-301
53,CG15221,37.199585,5.6238065,6.930258390470063e-303,1.021443083884282e-300
54,cad,37.105114,4.212441,2.3236479706357073e-301,3.3625298542344716e-299
55,SLC5A11,37.039993,4.433067,2.6024084294404864e-300,3.698672980342291e-298
56,CG33258,37.01534,4.847641,6.488190436541042e-300,9.059562751654413e-298
57,jing,37.004215,3.5702884,9.795792145466584e-300,1.3442191325132507e-297
58,Hnf4,36.97373,3.632197,3.027988087154745e-299,4.0847046077397656e-297
59,KCNQ,36.94302,2.9969392,9.42749652531454e-299,1.2505574140829737e-296
60,CG17574,36.908276,3.8313801,3.4043225549402476e-298,4.4418038056999066e-296
61,CG31198,36.903366,3.6501179,4.0808279437016915e-298,5.238598323213188e-296
62,dnc,36.892635,3.4183698,6.064761977015088e-298,7.661815964295727e-296
63,TyrR,36.861004,4.3999176,1.948991138888197e-297,2.4237531991267436e-295
64,CG4301,36.856026,3.427418,2.3417428189301174e-297,2.8673740147484315e-295
65,cdi,36.831814,3.0937424,5.718449550033987e-297,6.8959302982909855e-295
66,side-VIII,36.741066,4.2410583,1.6147658724509993e-295,1.9181972505727615e-293
67,rdgB,36.708344,3.6383626,5.375061477952706e-295,6.291193279856704e-293
68,CG5697,36.60708,3.3996046,2.2068483892343241e-293,2.5455516420168096e-291
69,CG10226,36.518993,4.195263,5.5398931106668645e-292,6.298858466828224e-290
70,lola,36.50197,2.675835,1.0319965955838228e-291,1.1568536484861473e-289
71,CG1674,36.45242,6.9181824,6.298668953182121e-291,6.962653638663402e-289
72,CG6733,36.393375,3.443782,5.418753861089522e-290,5.9079262986865075e-288
73,nuf,36.38431,3.0455372,7.537611090755336e-290,8.107006306935367e-288
74,CAH2,36.333073,4.757151,4.863628199894068e-289,5.1612822457275854e-287
75,smp-30,36.188293,3.7159495,9.302420766916937e-287,9.741837747880514e-285
76,Tps1,36.136246,3.879748,6.119123194776334e-286,6.324948247691539e-284
77,CG9498,36.11055,3.329861,1.5492361149995574e-285,1.580816697343779e-283
78,Sugb,36.016434,3.5479016,4.6267177059354013e-284,4.661271673612641e-282
79,CG11594,35.898987,3.3342402,3.168013063170804e-282,3.1517769962220534e-280
80,CG3764,35.75907,3.6802793,4.781891010143451e-280,4.698650685152065e-278
81,fok,35.69615,3.3766744,4.535731723027306e-279,4.402425461411504e-277
82,Hex-A,35.681995,2.8216631,7.520182446517634e-279,7.211220733955886e-277
83,dsx,35.677944,3.174638,8.690652859355263e-279,8.234393584239112e-277
84,CG10365,35.629158,3.109235,4.955344323198232e-278,4.639951231568791e-276
85,CG13284,35.618496,3.754621,7.246545976002461e-278,6.706425514302743e-276
86,Hipk,35.603252,2.829658,1.2475897948994265e-277,1.1413295606441995e-275
87,Aps,35.590904,2.835036,1.9370957643953916e-277,1.751971044184423e-275
88,MRP,35.587048,3.3315818,2.2221402505929239e-277,1.9871926128616943e-275
89,ens,35.52993,2.40847,1.6965980018734486e-276,1.5003581663234197e-274
90,CG33144,35.46804,2.80703,1.5292896391349213e-275,1.336111776496832e-273
91,Tret1-1,35.467762,4.6651053,1.54444381753623e-275,1.336111776496832e-273
