,names,scores,logfoldchanges,pvals,pvals_adj
0,PMCA,41.067875,6.1892595,0.0,0.0
1,Scp2,41.00914,7.71068,0.0,0.0
2,hth,40.766346,7.63677,0.0,0.0
3,bi,40.741882,7.442019,0.0,0.0
4,Debcl,40.254818,6.1772394,0.0,0.0
5,Muc11A,40.165703,4.8351383,0.0,0.0
6,Dgk,40.07829,5.1412396,0.0,0.0
7,Camta,39.58173,5.3679557,0.0,0.0
8,CG18095,39.125935,5.4283314,0.0,0.0
9,CAH1,39.10216,5.0284224,0.0,0.0
10,Dh31-R,38.527905,5.7426915,0.0,0.0
11,pum,38.45384,4.8097353,0.0,0.0
12,mtd,38.320587,3.892616,0.0,0.0
13,Fur1,37.854275,3.9928164,0.0,0.0
14,Indy,37.72752,4.2329473,0.0,0.0
15,numb,37.723526,5.007582,0.0,0.0
16,Irk3,37.70601,4.3153048,0.0,0.0
17,CG14245,37.593884,4.098222,2.70580789703521e-309,1.1964180584724018e-306
18,Trpm,37.573864,4.566777,5.745508821949033e-309,2.4067634059943343e-306
19,CG8837,37.251152,4.6294184,1.0150841043043677e-303,4.039527193079231e-301
20,CG9717,37.17587,4.251375,1.6752679056793e-302,6.349265362524547e-300
21,fog,36.992313,3.379997,1.5220516428566154e-299,5.506367738861728e-297
22,CrebA,36.960884,3.4084249,4.869974127886931e-299,1.6852227862544382e-296
23,Ptp10D,36.93968,5.253527,1.0667485612727585e-298,3.537604916320785e-296
24,Doc1,36.68915,5.058613,1.0877580988421851e-294,3.4629866834739804e-292
25,CG3655,36.40088,4.075641,4.122827001234197e-290,1.262060773185499e-287
26,Bsg,36.37652,3.9183996,1.0011158789607454e-289,2.9118282654199806e-287
27,CG8620,36.375885,5.4535837,1.0243898910888234e-289,2.9118282654199806e-287
28,Gdap2,36.362675,3.7619934,1.6569610153274226e-289,4.5475009382727436e-287
29,baz,36.19586,2.8740616,7.07259481997311e-287,1.876359405738866e-284
30,wtrw,35.970688,5.060628,2.404030214650719e-283,6.172153702711315e-281
31,CanA-14F,35.758556,4.077769,4.87099290122935e-280,1.2115072656526375e-277
32,ex,35.652767,3.7111504,2.134781312548634e-278,5.148704383810479e-276
33,CG42542,35.593876,3.086745,1.7425718254099508e-277,4.079155634834647e-275
34,Tim17a2,35.507984,4.1125116,3.701446763386765e-276,8.417089939941503e-274
35,mgl,35.502514,3.2772825,4.4951791696487474e-276,9.938091947565105e-274
36,CG34043,35.478695,3.3758383,1.0475975027793153e-275,2.2534671688163702e-273
37,Pkcdelta,35.249077,4.2505727,3.544311265659429e-272,7.423466674574577e-270
38,lncRNA:CR42839,35.168293,3.1647637,6.106679487813047e-271,1.246232360089847e-268
39,betaggt-I,35.143368,4.413217,1.4678226740150978e-270,2.920600165621541e-268
40,C3G,35.052425,3.5252259,3.581084554963583e-269,6.951671212915892e-267
41,CG9171,35.019123,3.6936648,1.151165685192002e-268,2.1814589734388437e-266
42,siz,34.97917,3.058889,4.665663304593172e-268,8.635817265408619e-266
43,Tsp42Ee,34.95898,3.6310093,9.457929892035818e-268,1.7108105456980246e-265
44,pnt,34.952847,3.0980172,1.1721249176507312e-267,2.07309827101826e-265
45,Zip48C,34.868896,3.929767,2.2022950294366794e-266,3.8104491607144634e-264
46,kuz,34.701103,4.0287004,7.582336363890604e-264,1.2839960663873472e-261
47,CG16743,34.568424,4.5128627,7.535982839574818e-262,1.2495601545869994e-259
48,Nc73EF,34.41803,2.8899434,1.355271903405511e-259,2.20134879167438e-257
49,CG43102,34.396294,4.4065475,2.864731445177641e-259,4.5600795144337694e-257
50,CG6125,34.15838,3.732102,1.0041053867378445e-255,1.5669950535385302e-253
51,heph,34.005466,3.16273,1.8495499428115513e-253,2.8308784605456033e-251
