,names,scores,logfoldchanges,pvals,pvals_adj
0,zfh2,41.56702,3.9061227,0.0,0.0
1,N,37.808487,5.583684,0.0,0.0
2,rau,33.97918,3.002172,4.523763268627459e-253,1.0287037672858841e-251
3,Rbfox1,32.462635,2.3529963,3.593226475733825e-231,6.5895137143699345e-230
4,fru,30.646992,2.1920395,2.8981562328765044e-206,3.990731048004169e-205
5,CG42747,27.878246,2.9872897,4.89795272410029e-171,4.765624172507849e-170
6,Mctp,24.74846,4.0047436,3.2208391855551094e-135,2.3539631843740234e-134
7,Sema2b,24.563082,5.2515225,3.1349626910179336e-133,2.24987989700737e-132
8,Dl,21.845167,5.5359945,8.640691622338183e-106,5.109306435526716e-105
9,robo2,21.569004,1.4408447,3.511734124515391e-103,2.026823197753299e-102
10,CG34370,20.672905,4.987183,6.0748774982975e-95,3.258082884700122e-94
11,wb,20.133545,2.6620598,3.751663837776178e-90,1.9239363714472036e-89
12,beat-IIa,19.913858,3.106899,3.086053527676555e-88,1.5545506346061836e-87
13,pain,19.143417,1.4370567,1.098239494702231e-81,5.243484186163802e-81
14,hdc,18.61865,1.0468986,2.268618784233509e-77,1.0461145367157878e-76
15,Sox100B,17.93003,3.8052251,6.874141387472233e-72,3.0564967208319277e-71
16,rst,17.317474,3.4573534,3.472650465628871e-67,1.4748572601889105e-66
17,esg,16.611296,5.094852,5.7731881825966215e-62,2.3599796992956605e-61
18,unc-13,16.193346,1.262989,5.618790630072487e-59,2.2371162893820372e-58
19,Tre1,15.791542,2.6042175,3.5577483491708027e-56,1.381948224062978e-55
20,sba,15.545945,1.0079869,1.6950449750314656e-54,6.473542685352896e-54
21,Trim9,15.309085,1.5376388,6.649307909732635e-53,2.503398375286757e-52
22,peb,15.053346,1.7001901,3.282074468576213e-51,1.218378297359985e-50
23,shg,14.591643,0.9327728,3.174593954746519e-48,1.1458772465227912e-47
24,Inx3,13.975166,2.3479333,2.2099797274362662e-44,7.617682395264289e-44
25,CG43759,13.952903,1.6480707,3.0205525153178024e-44,1.039367811042559e-43
26,sty,13.720124,0.7804614,7.6933383619101e-43,2.6256981141699178e-42
27,pigs,12.63185,1.1115979,1.4092550069598933e-36,4.491894513573805e-36
